Date,Product,Category,Region,Sales,Revenue,Inventory
2025-01-01,Laptop,Electronics,North,120,6000,250
2025-01-05,Mobile,Electronics,South,150,7500,300
2025-01-10,Tablet,Electronics,East,90,4500,180
2025-01-15,Monitor,Electronics,West,70,3500,150
2025-02-01,Laptop,Electronics,North,130,6500,240
2025-02-05,Mobile,Electronics,South,160,8000,280
2025-02-10,Tablet,Electronics,East,100,5000,170
2025-02-15,Monitor,Electronics,West,80,4000,140
2025-03-01,Laptop,Electronics,North,140,7000,230
2025-03-05,Mobile,Electronics,South,170,8500,260
2025-03-10,Tablet,Electronics,East,110,5500,160
2025-03-15,Monitor,Electronics,West,90,4500,130
2025-04-01,Laptop,Electronics,North,150,7500,220
2025-04-05,Mobile,Electronics,South,180,9000,250
2025-04-10,Tablet,Electronics,East,120,6000,150
2025-04-15,Monitor,Electronics,West,100,5000,120
2025-05-01,Laptop,Electronics,North,160,8000,210
2025-05-05,Mobile,Electronics,South,190,9500,240
2025-05-10,Tablet,Electronics,East,130,6500,140
2025-05-15,Monitor,Electronics,West,110,5500,110
2025-06-01,Laptop,Electronics,North,170,8500,200
2025-06-05,Mobile,Electronics,South,200,10000,230
2025-06-10,Tablet,Electronics,East,140,7000,130
2025-06-15,Monitor,Electronics,West,120,6000,100